,제목,제공기관,설명,파일형태,수정일,제공형태
39,우체국금융개발원 의료기관 기본사항 및 진료기록발급절차 정보,공공기관,"우체국보험 사고조사 중 취득한 의료기관 기본사항(주소, 전화번호, 주차여부 등) 및 진료기록 발급절차 정보 (국가안심병원 추가)",CSV,2020-12-29,파일
40,인천광역시 남동구 노인질환별 전문병원 현황,자치행정기관,"노인질환별 전문병원 현황(연번, 질환명, 해당지역, 병원 및 기관명, 전화번호, 기타진료과목)",CSV,2020-12-29,파일
41,인천광역시 남동구 금연치료 의료기관 현황,자치행정기관,"남동구 금연치료 의료기관 현황(연번, 동별, 병원명, 전화번호)",CSV,2020-12-29,파일
42,대구광역시 코로나19 일일검사자,자치행정기관,"코로나19관련 대구광역시 일일 검사자 수에 대한 데이터 (검사소:대구광역시내 보건소, 이동검사소, 선별검사소, 드라이브스루 등) 입니다.",CSV,2020-12-29,파일
43,국립소록도병원 의약품정보,국가행정기관,국립소록도병원 입원 한센인의 질병 치료 목적으로 사용하는 의약품 정보,CSV,2020-12-28,파일
44,인천광역시 남동구 영유아국가예방접종 위탁의료기관 현황,자치행정기관,"영유아국가예방접종 위탁의료기관 현황(번호, 병의원명, 주소, 전화번호, 데이터기준일)",CSV,2020-12-24,파일
45,서울특별시 강남구 방사선실 의료영상 실적,자치행정기관,2019년 강남구 방사선실 의료영상 실적,CSV,2020-12-23,파일
46,한국의료분쟁조정중재원 불가항력 의료사고 보상재원 현황,공공기관,불가항력 의료사고 보상재원 현황 제공,CSV,2020-12-22,파일
47,한국의료분쟁조정중재원 불가항력 의료사고 보상재원 적립 현황,공공기관,불가항력 의료사고 보상재원 적립 정보 현황,CSV,2020-12-22,파일
48,전라북도 전주시 안경원 현황,자치행정기관,"안경원 상호, 주소, 전화번호",CSV,2020-12-22,파일
49,전라북도 전주시 의료기기업소 현황,자치행정기관,"전주시 의료기기 영업소명, 영업소재지",CSV,2020-12-22,파일
50,전라북도 방역소독업체 현황,자치행정기관,전라북도 방역소독업체 현황(2020.1월말기준),CSV,2020-12-22,파일
51,전라북도 보건환경연구원 먹는 물 검사항목 및 수수료 정보,자치행정기관,보건환경연구원 먹는 물 검사항목 및 수수료 정보 제공,CSV,2020-12-22,파일
52,경상남도 거창군 약국현황,자치행정기관,"경상남도 거창군 약국현황, 약국명, 소재지 등",CSV,2020-12-21,파일
53,전라북도 장사정보 현황,자치행정기관,"전라북도 장사정보 시설 현황(구분, 주소, 전화번호 등)",CSV,2020-12-21,파일
54,경상남도 거창군 의료기관현황,자치행정기관,"거창군 관내 병의원, 치과, 한의원 등록현황",CSV,2020-12-21,파일
55,경상남도 인플루엔자 및 호흡기바이러스 감염증 병원체 감시사업 검사결과,자치행정기관,질병관리청 및 협력병원과 연계하여 인플루엔자 및 호흡기감염증의 원인병원체를 분석한 결과를 제공합니다.,XLSX,2020-12-21,파일
56,경상남도 수인성식품매개감염병 병원체 감시사업 검사결과(세균),자치행정기관,질병관리청 및 협력병원과 연계하여 수인성식품매개감염병의 원인병원체를 분석한 결과를 제공합니다.,XLSX,2020-12-21,파일
57,경상남도 수인성식품매개감염병 병원체 감시사업 검사결과(바이러스),자치행정기관,질병관리청 및 협력병원과 연계하여 수인성식품매개감염병의 원인병원체를 분석한 결과를 제공합니다.,XLSX,2020-12-21,파일
58,광주광역시 공기호흡기용기 충전현황,자치행정기관,"소방학교에서 유관기관 또는 민간기관에 제공하는 공기용기 충전 현황을 공개하여 공기용기 충전 서비스를 홍보함
(제공기관, 충전현황 등)",CSV,2020-12-21,파일
59,전라북도 의료기기 수리업 현황,자치행정기관,"전라북도 의료기기 수리업 현황(상호명, 위치, 업종 등)",CSV,2020-12-21,파일
60,전라북도 장사시설 현황,자치행정기관,"전라북도 장사시설현황(시군명, 위치, 관리주체 등)",CSV,2020-12-21,파일
61,서울특별시 광진구 폐의약품 수거함 및 수집 참여 약국 현황,자치행정기관,"서울특별시 광진구 폐의약품 수거함 및 수집 참여 약국 현황(명칭, 주소)",CSV,2020-12-21,파일
62,경기도 양주시 코로나19 발생 현황,자치행정기관,"경기도 양주시 코로나19 발생 현황(격리중, 격리해제, 사망, 검사중, 결과음성 등)

*양주시보건소, 국군양주병원 등 2개소
(12/8부터 국군양주병원 확진자 현황은 양주시보건소 현황에 합산)",CSV,2020-12-18,파일
63,국민건강보험공단 질병예측 정보,공공기관,"-수요조사 결과에 따라 관심도가 높은 4대 질병에 대한 위험도 및 예측정보 제공
-4대질병(눈병, 천식, 감기, 피부염) 사전 예방을 위한 전국 시도 및 시군구별 질병예측정보
-4개질병(눈병, 천식, 감기, 피부염) 시군구별 과거 진료건수 제공","CSV,ZIP",2020-12-17,파일
64,부산광역시 사하구 의료기관현황,자치행정기관,"부산광역시 사하구 의료기관(병원,요양병원,정신병원,치과병원,한방병원,의원,치과의원,한의원)의 현황 데이터 입니다.",CSV,2020-12-17,파일
65,부산광역시 사하구 치과기공소 현황,자치행정기관,"치과기공소의 치과기공소명, 주소, 연락처 등 정보제공",CSV,2020-12-17,파일
66,부산광역시 해운대구 의료기기 판매업 현황,자치행정기관,"해운대구 의료기기 판매업 정보
영업소명, 소재지, 전화번호",CSV,2020-12-16,파일
67,부산광역시 해운대구 안전상비 의약품 판매업 현황,자치행정기관,"해운대구 안전상비 의약품 판매업 현황
(판매점, 주소, 연락처 등)",CSV,2020-12-16,파일
68,부산광역시 해운대구 약국 현황,자치행정기관,해운대구 약국 현황,CSV,2020-12-16,파일
69,부산광역시 해운대구 치과기공소 현황,자치행정기관,해운대구 치과기공소 현황,CSV,2020-12-16,파일
70,부산광역시 해운대구 의료기관 시설장비 현황,자치행정기관,해운대구 의료기관 시설장비 현황,CSV,2020-12-16,파일
71,부산광역시 해운대구 의료기관 현황,자치행정기관,"해운대구 의료기관 현황
(기관명, 주소, 연락처 등)",CSV,2020-12-16,파일
72,부산광역시 해운대구 안경업소 현황,자치행정기관,해운대구 안경업소 현황,CSV,2020-12-16,파일
73,부산광역시 해운대구 의료유사업소 현황,자치행정기관,해운대구 의료유사업소 현황,CSV,2020-12-16,파일
74,부산광역시 해운대구 의약품도매상 현황,자치행정기관,"해운대구 의약품도매상 현황
(업소명, 주소, 연락처)",CSV,2020-12-16,파일
75,인천광역시 강화군 폐의약품 수거함 위치와 폐의약품 수집 참여 약국현황,자치행정기관,"폐의약품 수거함 목록( 폐의약품 수거함 소재지(도로명),수거함 장소명, 수거함 연락처)",CSV,2020-12-16,파일
76,행정안전부 의료기기판매(임대)업(수시),국가행정기관,의료기기를 판매하거나 임대하는 업소정보,XLS,2020-12-16,파일
77,부산광역시 강서구 약국 현황,자치행정기관,"부산광역시 강서구 내 약국 현황 제공(약국명, 위치, 전화번호)",CSV,2020-12-15,파일
78,부산광역시 강서구 안경업소현황,자치행정기관,"부산광역시 강서구_안경업소현황(업소명,소재지,전화번호)",CSV,2020-12-15,파일
79,광주광역시 남구 병원및요양원현황,자치행정기관,"광주광역시 남구의 병원및요양원 현황 정보(시설명, 주소, 전화번호 등)",CSV,2020-12-15,파일
80,서울특별시 동대문구 폐의약품 수거함 위치 현황,자치행정기관,폐의약품 수거함 위치 현황,CSV,2020-12-14,파일
81,대구광역시 북구 공중위생업,자치행정기관,"북구 관내 공중위생업 현황(숙박업, 목욕장업, 이용업, 미용업, 건물위생관리업, 세탁업) 등 정보 제공합니다.",CSV,2020-12-14,파일
82,보건복지부 국립춘천병원 거래처목록,국가행정기관,"보건복지부 국립춘천병원 의료관련 거래처목록(거래처코드,상호)",CSV,2020-12-14,파일
83,보건복지부 국립춘천병원 의약품목록,국가행정기관,"2020년 기준 국립춘천병원 의약품 목록(약품코드,약품영문명,약품한글명,구분)",CSV,2020-12-14,파일
84,전라남도 순천시 세탁업소 현황,자치행정기관,세탁업체 현황,CSV,2020-12-14,파일
85,인천광역시 남동구 소독업소 현황,자치행정기관,소독업소현황,CSV,2020-12-14,파일
86,경상남도 의령군 장애인시설 현황,자치행정기관,"경상남도 의령군 장애인시설단체명, 시설장, 주소, 연락처 정보 입니다.",CSV,2020-12-11,파일
87,경상남도 의령군 장례식장현황,자치행정기관,"경상남도 의령군 소재 장례식장의 업소명, 소재지 주소, 대표자, 전화번호 등의 정보 입니다.",CSV,2020-12-11,파일
88,경상남도 의령군 안전상비의약품판매업소,자치행정기관,"경상남도 의령군 안전상비의약품판매업소, 소재지 도로명주소, 전화번호 정보 입니다.",CSV,2020-12-11,파일
89,부산광역시 연제구 공중위생서비스 평가 결과,자치행정기관,"2020 공중위생서비스평가 결과(숙박업, 목욕업, 세탁업)",CSV,2020-12-11,파일
90,인천광역시 남동구 의료기관 현황,자치행정기관,"인천 남동구 의료기관 현황(종별, 의료기관명, 주소, 전화번호, 병상수, 진료과목)",CSV,2020-12-10,파일
91,인천광역시 남동구 치과기공소 현황,자치행정기관,인천 남동구 치과기공소 현황,CSV,2020-12-10,파일
92,부산광역시 서구 동물병원 정보,자치행정기관,"부산광역시 서구 동물병원의 상세 정보(업소명, 사업장소재지, 전화번호)를 제공합니다.",CSV,2020-12-10,파일
93,부산광역시 서구 장사시설 현황,자치행정기관,"부산광역시 서구내 장례식장 운영업소의 상호명, 위치, 연락처 등 현황입니다",CSV,2020-12-10,파일
94,부산광역시 서구 한의원,자치행정기관,"부산광역시 서구 한의원의 사업장명, 주소, 의료인수, 전화번호 정보",CSV,2020-12-10,파일
95,부산광역시 연제구 의료기기 업소 현황,자치행정기관,"부산광역시 연제구 의료기기판매업소 현황(업소명,사업장소재지(도로명))",CSV,2020-12-09,파일
96,경기도 고양시 어린이 국가예방접종 위탁의료기관 현황,자치행정기관,"경기도_고양시_어린이 국가예방접종 위탁의료기관 현황(의료기관명, 전화번호, 주소 등)",CSV,2020-12-09,파일
97,경상남도 진주시 휴일의료기관안내,자치행정기관,진주시 소재 휴일 의료기관 정보 제공,"CSV,XLS",2020-12-09,파일
98,부산광역시 연제구 안경업소 현황,자치행정기관,"안경업소 현황(인정일자,명칭,소재지)",CSV,2020-12-09,파일
99,부산광역시 연제구 동물병원현황,자치행정기관,"연제구 관내 동물병원명, 주소, 연락처 등",CSV,2020-12-09,파일
100,부산광역시 연제구 의료기관 현황,자치행정기관,"연제구 의료기관 소재지, 명칭, 전화번호",CSV,2020-12-09,파일
101,인천광역시 남동구 안경업소현황,자치행정기관,"남동구 소재 안경점, 안경원 현황",CSV,2020-12-09,파일
102,부산광역시 서구 의료기기판매업소,자치행정기관,"부산광역시 서구 의료기기판매업소 업소명, 주소, 전화번호 정보 제공",CSV,2020-12-09,파일
103,부산광역시 서구 병원(의원급),자치행정기관,"부산광역시 서구 병원(의원급)의 사업장명, 주소, 의료인수, 진료과목, 전화번호 정보",CSV,2020-12-09,파일
104,부산광역시 서구 종합병원,자치행정기관,"부산광역시 서구 종합병원의 사업장명, 주소, 병상수, 의료인수, 입원실수, 진료과목, 전화번호 정보",CSV,2020-12-09,파일
105,부산광역시 서구 치과병원,자치행정기관,"부산광역시 서구 치과병원의 사업장명, 주소, 의료인수, 전화번호 정보",CSV,2020-12-09,파일
106,충청남도 건강증진 관련 통계,자치행정기관,충청남도의 건강증진 및 정신보건 등 통계 정보 자료 입니다.,CSV,2020-12-08,파일
107,서울특별시 서초구 흡연시설 현황,자치행정기관,서초구내 흡연시설,CSV,2020-12-08,파일
108,서울특별시 광진구 담배소매인지정현황,자치행정기관,"광진구 담배소매인 지정 현황(업소명, 주소, 전화번호, 지정일자 등) 정보 제공",CSV,2020-12-08,파일
109,부산광역시 사하구 산후조리원현황,자치행정기관,"시군구, 산후조리원명, 산후조리원도로명주소, 연락처, 개설일자, 인원, 법인종류, 법인명, 일반실이용요금(원/2주), 특실이용요금(원/2주) 정보",CSV,2020-12-08,파일
110,한국보건산업진흥원 고령친화우수제품 지정현황,공공기관,고령친화우수제품 지정현황,"CSV,XLSX",2020-12-07,파일
111,한국과학기술정보연구원 의료영상정보,공공기관,"한국인 인체의 전신 CT 및 MRI 영상, 3차원 뼈대 모델, 형상 평균화 골격 모델, 뼈대 치수 및 뼈대 물성 정보를 제공하는 디지털코리언(의료영상정보) 데이터신청방법 수록","CSV,HWP",2020-12-07,파일
112,광주광역시 보건환경연구원 세균 및 바이러스성 설사질환 실험실감시실적,자치행정기관,"광주보건환경연구원 세균성 설사질환 및 바이러스성 설사질환 발생동향 등(검사건수, 검출건수 등)",CSV,2020-12-04,파일
113,경기도 고양시 의료급여대상자현황,자치행정기관,"경기도_고양시_의료급여 대상자 현황(읍면동, 가수구, 수급권자수 등)",CSV,2020-12-04,파일
114,인천광역시 남동구 금연아파트 현황,자치행정기관,금연아파트 현황,CSV,2020-12-03,파일
115,한국전자통신연구원 영장류(붉은털 원숭이) 가상 모델,공공기관,"공개되는 가상 모델 데이터는 전자파 인체 영향 연구를 위한 “복합 전파 환경에서의 국민건강 보호 기반 구축” 사업 수행 결과 중 일부로, 전자파 노출에 대한 가상 시뮬레이션 이외에도 의료 기술 분야에 활용 가능한 범용적 데이터입니다.
 구현방법: MRI 영상 및/또는 해부 영상 기반으로 조직 구역화하여 붉은털원숭이를 3차원 모델로 구현.
 적용포맷: MS excel 뿐만 아니라 다양한 계산 SW에서 읽을 수 있는 CSV 포맷과, Maya, 3ds Max와 같은 3D 모델링 SW에서 용이하게 입력 및 편집이 가능한 STL 포맷 모두 제공되므로 사용자 tool에 맞게 변형 가능.",CSV,2020-12-03,파일
116,한국전자통신연구원 인체(평균 머리) 가상 모델,공공기관,"공개되는 가상 모델 데이터는 전자파 인체 영향 연구를 위한 “복합 전파 환경에서의 국민건강 보호 기반 구축” 사업 수행 결과 중 일부로, 전자파 노출에 대한 가상 시뮬레이션 이외에도 의료 기술 분야에 활용 가능한 범용적 데이터입니다.
 구현방법: MRI 영상 및/또는 해부 영상 기반으로 조직 구역화하여 인체 머리를 3차원 모델로 구현.
 적용포맷: MS excel 뿐만 아니라 다양한 계산 SW에서 읽을 수 있는 CSV 포맷과, Maya, 3ds Max와 같은 3D 모델링 SW에서 용이하게 입력 및 편집이 가능한 STL 포맷 모두 제공되므로 사용자 tool에 맞게 변형 가능.",CSV,2020-12-03,파일
117,한국전자통신연구원 인체(남녀 전신) 가상 모델,공공기관,"공개되는 가상 모델 데이터는 전자파 인체 영향 연구를 위한 “복합 전파 환경에서의 국민건강 보호 기반 구축” 사업 수행 결과 중 일부로, 전자파 노출에 대한 가상 시뮬레이션 이외에도 의료 기술 분야에 활용 가능한 범용적 데이터입니다.
 구현방법: MRI 영상 및/또는 해부 영상 기반으로 조직 구역화하여 인체 전신을 3차원 모델로 구현.
 적용포맷: MS excel 뿐만 아니라 다양한 계산 SW에서 읽을 수 있는 CSV 포맷과, Maya, 3ds Max와 같은 3D 모델링 SW에서 용이하게 입력 및 편집이 가능한 STL 포맷 모두 제공되므로 사용자 tool에 맞게 변형 가능.",CSV,2020-12-03,파일
118,서울특별시 동대문구 가정내불용의약품처리현황,자치행정기관,"서울특별시_동대문구_가정내불용의약품처리현황(연도, 수거량, 수거량단위, 폐기방법)",CSV,2020-12-03,파일
119,국립암센터 PRE위암 라이브러리 PRE 위암 치료 항암제 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_치료_항암제_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-02,파일
120,충청남도 예산군 진단용방사선발생장치및특수의료장비현황,자치행정기관,"의료기관명, 모델명, 형식명 등",CSV,2020-12-02,파일
121,광주광역시 보건환경연구원 엔테로바이러스 실험실 감시실적,자치행정기관,광주지역에서 발생하는 무균성 수막염 등 검사 실적 자료,CSV,2020-12-02,파일
122,국립암센터 PRE위암 라이브러리 PRE 위암 사망 정보 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_사망_정보_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
123,국립암센터 PRE위암 라이브러리 PRE 위암 치료 방사선 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_치료_방사선_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
124,국립암센터 PRE위암 라이브러리 PRE 위암 수술 정보 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_수술_정보_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
125,국립암센터 PRE위암 라이브러리 PRE 위암 병리 외과 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_병리_외과_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
126,국립암센터 PRE위암 라이브러리 PRE 위암 병리 세포 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_병리_세포_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
127,국립암센터 PRE위암 라이브러리 PRE 위암 검사 내시경 점막하 박리술 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_검사_ESD_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
128,국립암센터 PRE위암 라이브러리 PRE 위암 검사 영상 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_검사_영상_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
129,국립암센터 PRE위암 라이브러리 PRE 위암 검사 진단 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_검사_진단_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
130,국립암센터 PRE위암 라이브러리 PRE 위암 검사 내시경 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_검사_내시경_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
131,국립암센터 PRE위암 라이브러리 PRE 위암 진단 병기 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_진단_병기_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
132,국립암센터 PRE위암 라이브러리 PRE 위암 진단 신체계측정보 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_진단_신체계측정보_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
133,국립암센터 PRE위암 라이브러리 PRE 위암 진단 정보 메타정보,공공기관,PRE위암_라이브러리_PRE_위암_진단_정보_메타정보,CSV,2020-12-01,파일
134,국립암센터 PRE위암 라이브러리 PRE 위암 환자 가족력 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_환자_가족력_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
135,국립암센터 PRE위암 라이브러리 PRE 위암 환자 건강정보 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_환자_건강정보_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
136,국립암센터 PRE위암 라이브러리 PRE 위암 환자 기본정보 메타정보,공공기관,"PRE위암_라이브러리_PRE_위암_환자_기본정보_메타정보( 제공 되어질 데이터 항목, 타입, 사이즈, 항목별건수등)를 제공",CSV,2020-12-01,파일
137,광주광역시 서부소방서 관내 119응급의료지정병원,자치행정기관,"광주광역시 서구관내 119응급의료지정병원 현황(의료기관명, 소재지 등)",CSV,2020-12-01,파일
138,충청북도 진천군 반려동물 관련 업체 현황,자치행정기관,"충청북도 진천군의 반려동물 관련 업체(동물병원,동물판매업,동물약국)의 업소명, 주소 등의 정보입니다.",CSV,2020-12-01,파일
139,경상남도 양산시 희귀 질환자 의료비 지원 현황,자치행정기관,2008년 부터 2019년 까지 경상남도 양산시 희귀질환자 의료비 지원 현황,CSV,2020-12-01,파일
140,경기도 안양시 의료기기 판매업소 정보,자치행정기관,안양시 관내 의료기기 판매 및 임대업소 현황,CSV,2020-12-01,파일
141,경상남도 양산시 병원(종합병원) 현황,자치행정기관,경상남도 양산시_병원(종합병원) 현황,CSV,2020-12-01,파일
142,경상남도 양산시 병원(병원급) 현황,자치행정기관,경상남도 양산시 병원(병원급) 현황,CSV,2020-12-01,파일
