fname,department,tag,info
부산광역시 연제구 안경업소 현황,,안경업소,연제구 안경업소 현황
부산광역시 연제구 동물병원현황,,동물병원현황,연제구 동물병원현황
부산광역시 연제구 의료기관 현황,,의료기관,연제구 의료기관 현황
인천광역시 남동구 안경업소현황,,안경업소현황,남동구 안경업소현황
충청남도 건강증진 관련 통계,,건강증진,건강증진 관련 통계
서울특별시 서초구 흡연시설 현황,,흡연시설,서초구 흡연시설 현황
서울특별시 광진구 담배소매인지정현황,,담배소매인지정현황,광진구 담배소매인지정현황
부산광역시 사하구 산후조리원현황,,산후조리원현황,사하구 산후조리원현황
한국보건산업진흥원 고령친화우수제품 지정현황,한국보건산업진흥원,고령친화우수제품,고령친화우수제품 지정현황
한국과학기술정보연구원 의료영상정보,한국과학기술정보연구원,의료영상정보,한국과학기술정보연구원 의료영상정보
광주광역시 보건환경연구원 세균 및 바이러스성 설사질환 실험실감시실적,,설사질환,보건환경연구원 세균 및 바이러스성 설사질환 실험실감시실적
경기도 고양시 의료급여대상자현황,,의료급여대상자현황,고양시 의료급여대상자현황
인천광역시 남동구 금연아파트 현황,,금연아파트,남동구 금연아파트 현황
한국전자통신연구원 영장류(붉은털 원숭이) 가상 모델,한국전자통신연구원,영장류 가상 모델,영장류(붉은털 원숭이) 가상 모델
한국전자통신연구원 인체(평균 머리) 가상 모델,한국전자통신연구원,인체 가상 모델,인체(평균 머리) 가상 모델
한국전자통신연구원 인체(남녀 전신) 가상 모델,한국전자통신연구원,인체 가상 모델,인체(남녀 전신) 가상 모델
서울특별시 동대문구 가정내불용의약품처리현황,,폐의약품,동대문구 가정내불용의약품처리현황
국립암센터 위암 치료 항암제 메타정보,국립암센터,위암,위암 치료 항암제 메타정보
충청남도 예산군 진단용방사선발생장치및특수의료장비현황,,특수의료장비,예산군 진단용방사선발생장치및특수의료장비현황
광주광역시 보건환경연구원 엔테로바이러스 실험실 감시실적,,엔테로바이러스,보건환경연구원 엔테로바이러스 실험실 감시실적
국립암센터 위암 사망 정보 메타정보,국립암센터,위암,위암 사망 정보 메타정보
국립암센터 위암 치료 방사선 메타정보,국립암센터,위암,위암 치료 방사선 메타정보
국립암센터 위암 수술 정보 메타정보,국립암센터,위암,위암 수술 정보 메타정보
국립암센터 위암 병리 외과 메타정보,국립암센터,위암,위암 병리 외과 메타정보
국립암센터 위암 병리 세포 메타정보,국립암센터,위암,위암 병리 세포 메타정보
국립암센터 위암 검사 내시경 점막하 박리술 메타정보,국립암센터,위암,위암 검사 내시경 점막하 박리술 메타정보
국립암센터 위암 검사 영상 메타정보,국립암센터,위암,위암 검사 영상 메타정보
국립암센터 위암 검사 진단 메타정보,국립암센터,위암,위암 검사 진단 메타정보
국립암센터 위암 검사 내시경 메타정보,국립암센터,위암,위암 검사 내시경 메타정보
국립암센터 위암 진단 병기 메타정보,국립암센터,위암,위암 진단 병기 메타정보
국립암센터 위암 진단 신체계측정보 메타정보,국립암센터,위암,위암 진단 신체계측정보 메타정보
국립암센터 위암 진단 정보 메타정보,국립암센터,위암,위암 진단 정보 메타정보
국립암센터 위암 환자 가족력 메타정보,국립암센터,위암,위암 환자 가족력 메타정보
국립암센터 위암 환자 건강정보 메타정보,국립암센터,위암,위암 환자 건강정보 메타정보
국립암센터 위암 환자 기본정보 메타정보,국립암센터,위암,위암 환자 기본정보 메타정보
광주광역시 서부소방서 관내 119응급의료지정병원,,관내,서부소방서 관내 119응급의료지정병원
충청북도 진천군 반려동물 관련 업체 현황,,반려동물,진천군 반려동물 관련 업체 현황
경상남도 양산시 희귀 질환자 의료비 지원 현황,,희귀 질환자 의료비,양산시 희귀 질환자 의료비 지원 현황
경기도 안양시 의료기기 판매업소 정보,,의료기기,안양시 의료기기 판매업소 정보
경상남도 양산시 병원(종합병원) 현황,,병원(종합병원),양산시 병원(종합병원) 현황
경상남도 양산시 병원(병원급) 현황,,병원(병원급),양산시 병원(병원급) 현황
경상남도 양산시 병원 현황,,병원,양산시 병원 현황
전라남도 담양군 병원 및 요양원 현황,,병원,담양군 병원 및 요양원 현황
경상남도 양산시 동물 병원 현황,,동물,양산시 동물 병원 현황
경상남도 양산시 대한약사회 경남지부 현황,,대한약사회,양산시 대한약사회 경남지부 현황
경상남도 양산시 검진실적(소아시력)현황,,검진실적(소아시력)현황,양산시 검진실적(소아시력)현황
경상남도 양산시 검진실적(만성질환)현황,,검진실적(만성질환)현황,양산시 검진실적(만성질환)현황
경상남도 양산시 검진실적(국가암검진)현황,,검진실적(국가암검진)현황,양산시 검진실적(국가암검진)현황
인천광역시 미추홀구 숭의보건지소 재활치료실 장비목록,,숭의보건지소,미추홀구 숭의보건지소 재활치료실 장비목록
대구광역시 음식점 등록현황,,등록현황,음식점 등록현황
인천광역시 미추홀구 흡연실현황,,흡연실현황,미추홀구 흡연실현황
경기도 수원시 의약품도매업소현황,,의약품도매업소현황,수원시 의약품도매업소현황
인천광역시 미추홀구 의료기기판매업소 현황,,의료기기판매업소,미추홀구 의료기기판매업소 현황
대전광역시 서구 의료기기판매업현황,,의료기기판매업현황,서구 의료기기판매업현황
대전광역시 서구 당직의료기관 현황,,당직의료기관,서구 당직의료기관 현황
인천광역시 미추홀구 공동주택금연구역지정 현황,,공동주택금연구역지정,미추홀구 공동주택금연구역지정 현황
인천광역시 미추홀구 금연클리닉운영 현황,,금연클리닉운영,미추홀구 금연클리닉운영 현황
국립암센터 PRE위암 라이브러리 메타정보,국립암센터,위암,PRE위암 라이브러리 메타정보
충청북도 보은군 진단용방사선발생장치 및 특수장비현황,,특수장비현황,보은군 진단용방사선발생장치 및 특수장비현황
인천광역시 미추홀구 안경업소,,안경업소,미추홀구 안경업소
한국사회보장정보원 우편번호 정보,한국사회보장정보원,우편번호 정보,우편번호 정보
한국사회보장정보원 보건기관 기본정보,한국사회보장정보원,기관 기본정보,보건기관 기본정보
인천광역시 연수구 안경업소 현황,,안경업소,연수구 안경업소 현황
인천광역시 연수구 병의원 현황,,병의원,연수구 병의원 현황
대구광역시 의료기관 현황,,의료기관,의료기관 현황
경기도 양주시 코로나19 발생 현황,,코로나19,양주시 코로나19 발생 현황
서울특별시 용산구 흡연구역,,흡연구역,용산구 흡연구역
경상북도 공중위생업소 현황,,공중위생업소,공중위생업소 현황
대전광역시 동구 약국 현황,,약국,동구 약국 현황
대전광역시 동구 의료기관 현황,,의료기관,동구 의료기관 현황
부산광역시 연제구 기초수급자 현황,,기초수급자,연제구 기초수급자 현황
부산광역시 동래구 동물병원 현황,,동물병원,동래구 동물병원 현황
광주광역시 의료기관 현황,,의료기관,의료기관 현황
서울특별시 성동구 실외운동기구현황,,실외운동기구현황,성동구 실외운동기구현황
광주광역시 광산구 예방접종 위탁의료기관 현황,,예방접종,광산구 예방접종 위탁의료기관 현황
전라북도 임실군 집단급식소설치병원,,집단급식소설치병원,임실군 집단급식소설치병원
서울특별시 성동구 흡연시설정보,,흡연시설정보,성동구 흡연시설정보
서울특별시 성동구 흡연정보,,흡연정보,성동구 흡연정보
경상남도 창녕군 의료기관정보 의원,,의료기관정보,창녕군 의료기관정보 의원
경기도 부천시 약국현황,,약국현황,부천시 약국현황
경기도 부천시 병원현황,,병원현황,부천시 병원현황
경기도 부천시 기초생활수급자현황,,기초생활수급자현황,부천시 기초생활수급자현황
"경상북도 보건소, 보건의료원 현황",,보건의료원,"보건소, 보건의료원 현황"
인천광역시 동구 공중위생업현황,,공중위생업현황,동구 공중위생업현황
전라북도 장사시설 현황,,장사,장사시설 현황
경상북도 지방의료원 현황,,지방의료원,지방의료원 현황
충청북도 충주시 위생업소,,위생업소,충주시 위생업소
충청북도 동물병원 현황,,응급의료기관,동물병원 현황
광주광역시 광산구 응급의료기관 현황,,응급의료기관,광산구 응급의료기관 현황
광주광역시 광산구 보건소 현황,,보건소,광산구 보건소 현황
경기도 김포시 약국현황,,약국현황,김포시 약국현황
경기도 김포시 의료기관현황,,의료기관현황,김포시 의료기관현황
목포시 병원현황,,병원현황,목포시 병원현황
목포시 약국 현황,,약국현황,약국 현황
울산광역시 남구 의료기기판매업소 현황,,의료기기판매업소,남구 의료기기판매업소 현황
한국한의학연구원 한의임상정보은행 정보,한국한의학연구원,한의임상정보은행정보,한의임상정보은행 정보
우체국금융개발원 의료기관 기본사항 및 진료기록 발급절차 정보,우체국금융개발원,기본사항,의료기관 기본사항 및 진료기록 발급절차 정보
경상남도 김해시 약국 현황,,약국현황,김해시 약국 현황
경상남도 김해시 안전상비비의약품판매업소 현황,,상비약품 판매업소,김해시 안전상비비의약품판매업소 현황
한국보건산업진흥원 보건산업신기술 현황,한국보건산업진흥원,보건산업신기술현황,보건산업신기술 현황
울산광역시 동구 동물병원 현황,,동물병원,동구 동물병원 현황
한국보건산업진흥원 유치사업등록 의료기관 정보,한국보건산업진흥원,의료기관,유치사업등록 의료기관 정보
대전광역시 동구 특수의료장비현황,,특수의료장비현황,동구 특수의료장비현황
대전광역시 동구 공중위생업현황,,공중위생업현황,동구 공중위생업현황
국민건강보험공단 노인장기요양보험 시도별 판정 현황,국민건강보험공단,노인장기요양보험,노인장기요양보험 시도별 판정 현황
대전광역시 동구 안경업소 현황,,안경업소,동구 안경업소 현황
경기도 김포시 목욕업소,,목욕업소,김포시 목욕업소
경기도 김포시 공동공설묘지현황,,공동공설묘지현황,김포시 공동공설묘지현황
전라남도 보건환경연구원홈페이지 보건관련상식,,보건관련상식,보건환경연구원홈페이지 보건관련상식
서울특별시 양천구 흡연민원 단속건수,,흡연민원,양천구 흡연민원 단속건수
전라북도 익산시 의료기기판매업소,,의료기기판매업소,익산시 의료기기판매업소
전라북도 익산시 의료기관,,의료기관,익산시 의료기관
인천광역시 서구 병원,,병원,서구 병원
인천광역시 서구 국가 암검진 의료기관,,암검진의료기관,서구 국가 암검진 의료기관
인천광역시 서구 공중위생업소,,공중위생업소,서구 공중위생업소
부산광역시 동래구 의료기기 임대 및 판매업소현황,,의료기기,동래구 의료기기 임대 및 판매업소현황
부산광역시 동래구 의료기관 현황,,의료기관,동래구 의료기관 현황
인천광역시 보건교육실적 성인병예방 및 관리교육,,성인병예방,보건교육실적 성인병예방 및 관리교육
전라북도 임실군 병의원현황,,병의원현황,임실군 병의원현황
전라북도 보건환경연구원 식약품분석 시험항목 및 수수료 정보,,식약품분석,보건환경연구원 식약품분석 시험항목 및 수수료 정보
경상북도 문경시 공중위생업현황,,공중위생업현황,문경시 공중위생업현황
충청남도 금산군 진단용 방사선 발생장치 및 특수장비 현황,,진단용,금산군 진단용 방사선 발생장치 및 특수장비 현황
부산광역시 중구 의료기관 현황,,의료기관,중구 의료기관 현황
경기도 고양시 동물병원현황,,동물병원현황,고양시 동물병원현황
경기도 양주시 의료시설 현황,,의료시설,양주시 의료시설 현황
경기도 양주시 안경업소 현황,,안경업소,양주시 안경업소 현황
전라남도 보건진료소현황,,보건진료소현황,전라남도 보건진료소현황
경기도 양주시 산후조리원 현황,,산후조리원,양주시 산후조리원 현황
부산광역시 중구 소독업소 현황,,소독업소,중구 소독업소 현황
전라남도 장성군 공중위생업소 현황,,공중위생업소,장성군 공중위생업소 현황
근로복지공단 근로복지지원현황,근로복지공단,근로복지지원현황,근로복지공단 근로복지지원현황
전라남도 병원급이상의료기관현황,,병원급이상의료기관현황,전라남도 병원급이상의료기관현황
경기도 성남시 약국 현황,,약국,성남시 약국 현황
경기도 성남시 의료기관 현황,,의료기관,성남시 의료기관 현황
경기도 성남시 안경업소 현황,,안경업소,성남시 안경업소 현황
전라남도 보건지소현황,,보건지소현황,전라남도 보건지소현황
전라남도 응급의료기관현황,,응급의료기관현황,전라남도 응급의료기관현황
전라남도 병원·의원현황,,병원·의원현황,전라남도 병원 의원현황
질병관리청 국립목포병원 신규 입원환자 현황,질병관리청,신규입원환자,국립목포병원 신규 입원환자 현황
질병관리청 국립목포병원 진료비 청구 현황,질병관리청,진료비,국립목포병원 진료비 청구 현황
질병관리청 국립목포병원 외래/입원 수입금 현황,질병관리청,외래/입원,국립목포병원 외래/입원 수입금 현황
질병관리청 국립목포병원 거래처 목록,질병관리청,거래처,국립목포병원 거래처 목록
경상남도 거제시 의약업소등현황,,의약업소등현황,거제시 의약업소등현황
질병관리청 국립목포병원 외래 환자 현황,질병관리청,외래환자,국립목포병원 외래 환자 현황
강원도 고성군 공중위생업현황관리,,공중위생업현황관리,고성군 공중위생업현황관리
인천광역시 계양구 동물약국,,동물약국,계양구 동물약국
서울특별시 용산구 의료기기판매업소,,의료기기판매업소,용산구 의료기기판매업소
경상남도 거제시 안전상비의약품판매점현황,,상비약품 판매업소,거제시 안전상비의약품판매점현황
대구광역시 북구 안경업소,,안경업소,북구 안경업소
강원도 원주시 의원 정보,,의원,원주시 의원 정보
대전광역시 서구 의원현황,,의원현황,서구 의원현황
대전광역시 대덕구 미용업소,,미용업소,대덕구 미용업소
경기도 의정부시 의원 현황,,의원,의정부시 의원 현황
서울특별시 강남구 흡연민원및단속건수,,흡연민원및단속건수,강남구 흡연민원및단속건수
부산광역시 중구 장기요양기관 현황,,장기요양기관,중구 장기요양기관 현황
제주특별자치도 연도별건강조사주요지표현황,,연도별건강조사주요지표현황,제주특별자치도 연도별건강조사주요지표현황
제주특별자치도 소독업체현황,,소독업체현황,제주특별자치도 소독업체현황
제주특별자치도 세탁업현황,,세탁업현황,제주특별자치도 세탁업현황
제주특별자치도 보건소및보건지소현황,,보건소및보건지소현황,제주특별자치도 보건소및보건지소현황
제주특별자치도 숙박업현황,,숙박업현황,제주특별자치도 숙박업현황
제주특별자치도 미용업현황,,미용업현황,제주특별자치도 미용업현황
제주특별자치도 목욕업현황,,목욕업현황,제주특별자치도 목욕업현황
강원도 원주시 동물약국정보,,동물약국정보,원주시 동물약국정보
건강보험심사평가원 약가마스터 의약품표준코드,건강보험심사평가원,의약품표준코드,약가마스터 의약품표준코드
경기도 의정부시 병원 현황,,병원,의정부시 병원 현황
대구광역시 북구 병의원,,병의원,북구 병의원
대구광역시 남구 의료시설,,의료시설,남구 의료시설
부산광역시 연제구 동물질병관리 현황,,동물질병관리,연제구 동물질병관리 현황
한국보훈복지의료공단 위탁병원 현황 공통,한국보훈복지의료공단,지역보건의료기관,위탁병원 현황 공통
보건복지부 전국 지역보건의료기관 현황,보건복지부,지역보건의료기관,전국 지역보건의료기관 현황
한국보훈복지의료공단 보훈병원 치매진단 정보,한국보훈복지의료공단,치매진단,보훈병원 치매진단 정보
보건복지부 소관 법인 현황 비영리재단법인,보건복지부,비영리재단법인,소관 법인 현황 비영리재단법인
보건복지부 소관 법인 현황 비영리사단법인,보건복지부,비영리사단법인,소관 법인 현황 비영리사단법인
보건복지부 소관 법인 현황 의료법인,보건복지부,의료법인,소관 법인 현황 의료법인
보건복지부 전국 산후조리원 현황,보건복지부,산후조리원,전국 산후조리원 현황
보건복지부 진료정보교류 EMR 및 벤더 정보 현황,보건복지부,EMR,진료정보교류 EMR 및 벤더 정보 현황
보건복지부 정부 지정 난임술(체외수정) 의료기관 지정현황,보건복지부,지정,정부 지정 난임술(체외수정) 의료기관 지정현황
보건복지부 의료기관 진료정보교류현황,보건복지부,진료정보교류현황,의료기관 진료정보교류현황
전라남도 무안군 청사 내 흡연실 설치현황,,흡연실현황,무안군 청사 내 흡연실 설치현황
부산광역시 보건소 검사정보,,검사정보,보건소 검사정보
인천광역시 남동구 산모신생아건강관리서비스제공기관현황,,산모신생아건강관리서비스제공기관현황,남동구 산모신생아건강관리서비스제공기관현황
경기도 남양주시 예방접종 현황,,예방접종,남양주시 예방접종 현황
경기도 간호간병통합서비스(공공) 현황,,간호간병통합서비스,간호간병통합서비스(공공) 현황
부산광역시 중구 안마시술소 현황,,안마시술소,중구 안마시술소 현황
부산광역시 중구 정기 예방접종 현황,,예방접종,중구 정기 예방접종 현황
제주특별자치도 공공의료기관현황,,공공의료기관현황,제주특별자치도 공공의료기관현황
부산광역시 기장군 보건소 설치 운영 현황,,보건소,기장군 보건소 설치 운영 현황
경상남도 인플루엔자 및 호흡기바이러스 감염증 병원체 감시사업 검사결과,,호흡기바이러스,인플루엔자 및 호흡기바이러스 감염증 병원체 감시사업 검사결과
전라남도 보건환경연구원홈페이지 공지사항,,공지사항,보건환경연구원홈페이지 공지사항
전라남도 보건환경연구원홈페이지 갤러리,,갤러리,보건환경연구원홈페이지 갤러리
부산광역시 기장군 특수의료장비 설치현황,,특수의료장비,기장군 특수의료장비 설치현황
광주광역시 북부소방서 응급의료기관현황,,응급의료기관현황,북부소방서 응급의료기관현황
부산광역시 중구 의료기기 설치 정보,,의료기기,중구 의료기기 설치 정보
전라남도 보건환경연구원홈페이지 정보공개,,정보공개,보건환경연구원홈페이지 정보공개
세종특별자치시 소독의무시설,,소독의무시설,세종특별자치시 소독의무시설
보건복지부 시군구별 치매현황,보건복지부,치매현황,시군구별 치매현황
한국보건복지인력개발원 의료통역능력검정시스템 세부시험정보,한국보건복지인력개발원,세부시험정보,의료통역능력검정시스템 세부시험정보
경기도 고양시 의약품도매업소 현황,,의약품도매업소,고양시 의약품도매업소 현황
경기도 고양시 산모신생아 건강관리 제공기관 현황,,산모신생아,고양시 산모신생아 건강관리 제공기관 현황
서울특별시  양천구 코로나19확진자 추정자가격리자및감염자수,,코로나19확진자, 양천구 코로나19확진자 추정자가격리자및감염자수
건강보험심사평가원 의료영상(뇌동맥류) 판독지원 인공지능 알고리즘 소스 v2,건강보험심사평가원,의료영상,의료영상(뇌동맥류) 판독지원 인공지능 알고리즘 소스 v2
건강보험심사평가원 의료영상(뇌동맥류) 판독지원 인공지능 알고리즘 소스 v1,건강보험심사평가원,의료영상,의료영상(뇌동맥류) 판독지원 인공지능 알고리즘 소스 v1
광주광역시 인큐베이팅기업 생산품 및 서비스용역,,인큐베이팅기업,인큐베이팅기업 생산품 및 서비스용역
전라북도 전주시 급식소 현황,,급식소,전주시 급식소 현황
광주광역시 정신의료기관,,정신의료기관,광주광역시 정신의료기관
강원도 원주시 병원 정보,,병원,원주시 병원 정보
전라북도 수의사 현황,,수의사,수의사 현황
강원도 원주시 동물병원 정보,,동물병원,원주시 동물병원 정보
인천광역시 미추홀구 의료급여 수급권자 종별 현황,,의료급여,미추홀구 의료급여 수급권자 종별 현황
인천광역시 미추홀구 금연교육 현황,,금연교육,미추홀구 금연교육 현황
인천광역시 미추홀구 안전상비의약품 판매업소 현황,,상비약품 판매업소,미추홀구 안전상비의약품 판매업소 현황
전라남도 소독의무 대상시설 개수,,대상시설,소독의무 대상시설 개수
전라남도 소독업체 현황,,소독업체,소독업체 현황
전라북도 희귀난치질환자 현황,,희귀난치질환자,희귀난치질환자 현황
세종특별자치시 약국 현황,,약국,약국 현황
전주시 의료기기업소현황,,의료기업소,전주시 의료기기업소현황
전주시 안경원 현황,,안경원,안경원 현황
전라북도 전주시 소독업소 현황,,소독업소,전주시 소독업소 현황
충청북도 음성군 진단방사선발생장치 및 특수장비현황,,특수장비현황,음성군 진단방사선발생장치 및 특수장비현황
전라북도 보건환경연구원 미생물 검사 수수료 정보,,미생물,보건환경연구원 미생물 검사 수수료 정보
충청남도 보령시 장기요양기관,,장기요양기관,보령시 장기요양기관
대전광역시 서구 산후조리원현황,,산후조리원현황,서구 산후조리원현황
경상북도 병원개폐업현황,,병원개폐업현황,경상북도 병원개폐업현황
광주광역시 정신재활시설 현황(2020년),,정신재활시설,정신재활시설 현황(2020년)
서울특별시 성동구 약국현황,,약국현황,성동구 약국현황
대전광역시 장사시설(장례식장)현황,,장사시설,대전광역시 장사시설(장례식장)현황
제주특별자치도 의료기관현황,,의료기관현황,제주특별자치도 의료기관현황
전라북도 소독차량 현황,,소독차현황,소독차량 현황
광주광역시 동부소방서 관내 119응급의료지정병원 현황,,119응급의료지정병원,동부소방서 관내 119응급의료지정병원 현황
국민건강보험공단 직장 부과자료관리,국민건강보험공단,부과자료관리,직장 부과자료관리
국민건강보험공단 현급급여비(광역시별) 지급현황,국민건강보험공단,지급현황,현급급여비(광역시별) 지급현황
"보건복지부 국립춘천병원 2020년 3분기 외래, 입원 수입금 현황",보건복지부,2020년,"국립춘천병원 2020년 3분기 외래, 입원 수입금 현황"
부산광역시 해운대구 소독의무시설현황,,소독의무시설현황,해운대구 소독의무시설현황
전라북도 여성폭력상담,,여성폭력상담,전라북도 여성폭력상담
서울특별시 성동구 병원의원현황,,병원의원현황,성동구 병원의원현황
서울특별시 성동구 숙박업현황,,숙박업현황,성동구 숙박업현황
서울특별시 성동구 치과기공소현황,,치과기공소현황,성동구 치과기공소현황
서울특별시 성동구 안경업소현황,,안경업소현황,성동구 안경업소현황
서울특별시 성동구 건물위생관리업현황,,건물위생관리업현황,성동구 건물위생관리업현황
전라북도 고혈압 당뇨병 등록관리사업 추진현황,,당뇨병,고혈압 당뇨병 등록관리사업 추진현황
서울특별시 성동구 세탁업현황,,세탁업현황,성동구 세탁업현황
서울특별시 성동구 미용업현황,,미용업현황,성동구 미용업현황
전라북도 의료급여 유형별 수급권자 현황,,의료급여,의료급여 유형별 수급권자 현황
전라북도 고혈압.당뇨환자 현황,,고혈압.당뇨환자,고혈압.당뇨환자 현황
전라북도 보건환경연구원 대기환경연구 수수료정보,,대기환경연구,보건환경연구원 대기환경연구 수수료정보
대전광역시 사회복지시설 방역물품지급 예산현황,,방역물품지급,사회복지시설 방역물품지급 예산현황
전라북도 보건소 현황,,보건소,보건소 현황
전라북도 방역차량,,방역차량,전라북도 방역차량
전라남도 영광군 의료기관현황,,의료기관현황,영광군 의료기관현황
경상북도 식품위생업체 현황,,식품위생업체현황,식품위생업체 현황
강원도 강릉시 흡연단속장소 정보,,흡연단속장소,강릉시 흡연단속장소 정보
강원도 강릉시 흡연단속시스템 전국 관청정보,,흡연단속시스템,강릉시 흡연단속시스템 전국 관청정보
울산광역시 중구 한의원현황,,한의원현황,중구 한의원현황
인천광역시 남동구 안마시술소 및 안마원 현황,,안마시술소,남동구 안마시술소 및 안마원 현황
부산광역시 동구 필수예방접종 위탁의료기관 현황,,필수예방접종,동구 필수예방접종 위탁의료기관 현황
부산광역시 금정구 의료기기판매업소 현황,,의료기기판매업소,금정구 의료기기판매업소 현황
한국보건복지인력개발원 의료검정통역능력시스템 시험정보,한국보건복지인력개발원,의료검정통역능력시스템,의료검정통역능력시스템 시험정보
서울특별시 서초구 흡연단속 실적,,흡연단속,서초구 흡연단속 실적
질병관리청 인체자원 분양정보,질병관리청,인체자원,인체자원 분양정보
건강보험심사평가원 의약품안전사용 임부금기,건강보험심사평가원,의약품안전사용,의약품안전사용 임부금기
건강보험심사평가원 요양기관 폐업 현황,건강보험심사평가원,요양기관,요양기관 폐업 현황
건강보험심사평가원 요양기관 개설 현황,건강보험심사평가원,요양기관,요양기관 개설 현황
건강보험심사평가원 전국 병의원 및 약국 현황,건강보험심사평가원,병의원,전국 병의원 및 약국 현황
부산광역시 동구 의료급여수급자 현황,,의료급여수급자,동구 의료급여수급자 현황
부산광역시 동구 의료기기수리업현황,,의료기기수리업현황,동구 의료기기수리업현황
부산광역시 동구 의료기기판매업소 현황,,의료기기판매업소,동구 의료기기판매업소 현황
부산광역시 동구 의약품도매상현황,,의약품도매상현황,동구 의약품도매상현황
서울특별시 양천구 흡연시설 현황,,흡연시설,양천구 흡연시설 현황
부산광역시 기장군 의료기기 판매업현황,,의료기기,기장군 의료기기 판매업현황
서울특별시 용산구 관내의료기관현황,,관내의료기관현황,용산구 관내의료기관현황
서울특별시 1인당 사회복지 예산액 통계,,사회복지,1인당 사회복지 예산액 통계
서울특별시 식중독 발생 현황 통계,,식중동,식중독 발생 현황 통계
강원도 동해시 공중위생업 현황,,공중위생업,동해시 공중위생업 현황
서울특별시 시민건강포인트 병의원 정보,,병의원,시민건강포인트 병의원 정보
서울특별시 세이프약국 정보,,세이프약국,세이프약국 정보
서울특별시 의료관광허가 의료기관 정보 (한국어),,의료기관,의료관광허가 의료기관 정보 (한국어)
서울특별시 의료관광허가 의료기관 정보 (중국어 간체),,의료기관,의료관광허가 의료기관 정보 (중국어 간체)
서울특별시 의료관광허가 의료기관 정보 (영어),,의료기관,의료관광허가 의료기관 정보 (영어)
서울특별시 모기예보제 정보,,모기예보제,모기예보제 정보
서울특별시 산후조리업소 관리 현황,,산후조리업소,산후조리업소 관리 현황
서울특별시 동물용 의약품 도매업체 정보,,동물용의약품,동물용 의약품 도매업체 정보
서울특별시 응급실 월별 이용 현황 통계,,응급실,응급실 월별 이용 현황 통계
서울특별시 헌혈현황(혈액형별) 통계,,헌혈현황,헌혈현황(혈액형별) 통계
경기도 소독의무대상시설 현황,,소독의무대상시설,소독의무대상시설 현황
울산광역시 중구 세탁소,,세탁소,중구 세탁소
울산광역시 중구 요양병원 현황,,요양병원,중구 요양병원 현황
울산광역시 중구 목욕탕,,목욕탕,중구 목욕탕
울산광역시 중구 예방접종 지정기관 현황,,예방접종,중구 예방접종 지정기관 현황
대전광역시 대덕구 의료기관정보,,의료기관정보,대덕구 의료기관정보
서울특별시 성동구 동물병원현황,,동물병원현황,성동구 동물병원현황
국민건강보험공단 질병예측 정보,국민건강보험공단,질병예측,질병예측 정보
전라북도 의료기기 수리업 현황,,의료기기 수리업,의료기기 수리업 현황
제주특별자치도 해녀진료비지원의료기관현황,,해녀진료비지원의료기관현황,제주특별자치도 해녀진료비지원의료기관현황
제주특별자치도 한방난임치료지원한의원현황,,한방난임치료지원한의원현황,제주특별자치도 한방난임치료지원한의원현황
