,fname,provide,title,local,sub_loc,department,sub_dept,info
187,제주특별자치도 미용업현황,자치행정기관,제주특별자치도,제주특별자치도,,,,
188,제주특별자치도 목욕업현황,자치행정기관,제주특별자치도,제주특별자치도,,,,
189,강원도 원주시 동물약국정보,자치행정기관,강원도,강원도,원주시,,,
190,건강보험심사평가원 약가마스터 의약품표준코드,공공기관,건강보험심사평가원,,,건강보험심사평가원,,
191,경기도 의정부시 병원 현황,자치행정기관,경기도,경기도,의정부시,,,
192,대구광역시 북구 병의원,자치행정기관,대구광역시,대구광역시,북구,,,
193,대구광역시 남구 의료시설,자치행정기관,대구광역시,대구광역시,남구,,,
194,부산광역시 연제구 동물질병관리 현황,자치행정기관,부산광역시,부산광역시,연제구,,,
195,한국보훈복지의료공단 위탁병원 현황 공통,공공기관,한국보훈복지의료공단,,,한국보훈복지의료공단,,
196,보건복지부 전국 지역보건의료기관 현황,국가행정기관,보건복지부,,,보건복지부,,
197,한국보훈복지의료공단 보훈병원 치매진단 정보,공공기관,한국보훈복지의료공단,,,한국보훈복지의료공단,,
198,보건복지부 소관 법인 현황 비영리재단법인,국가행정기관,보건복지부,,,보건복지부,,법인 현황 비영리재단법인
199,보건복지부 소관 법인 현황 비영리사단법인,국가행정기관,보건복지부,,,보건복지부,,법인 현황 비영리사단법인
200,보건복지부 소관 법인 현황 의료법인,국가행정기관,보건복지부,,,보건복지부,,법인 현황 의료법인
201,보건복지부 전국 산후조리원 현황,국가행정기관,보건복지부,,,보건복지부,,
202,보건복지부 진료정보교류 EMR 및 벤더 정보 현황,국가행정기관,보건복지부,,,보건복지부,,EMR 및 벤더 정보 현황
203,보건복지부 정부 지정 난임술(체외수정) 의료기관 지정현황,국가행정기관,보건복지부,,,보건복지부,,지정 난임술(체외수정) 의료기관 지정현황
204,보건복지부 의료기관 진료정보교류현황,국가행정기관,보건복지부,,,보건복지부,,
205,전라남도 무안군 청사 내 흡연실 설치현황,자치행정기관,전라남도,전라남도,무안군,,,청사 내 흡연실 설치현황
206,부산광역시 보건소 검사정보,자치행정기관,부산광역시,부산광역시,,,,
207,인천광역시 남동구 산모신생아건강관리서비스제공기관현황,자치행정기관,인천광역시,인천광역시,남동구,,,
208,경기도 남양주시 예방접종 현황,자치행정기관,경기도,경기도,남양주시,,,
209,경기도 간호간병통합서비스(공공) 현황,자치행정기관,경기도,경기도,,,,
210,부산광역시 중구 안마시술소 현황,자치행정기관,부산광역시,부산광역시,중구,,,
211,부산광역시 중구 정기 예방접종 현황,자치행정기관,부산광역시,부산광역시,중구,,,정기 예방접종 현황
212,제주특별자치도 공공의료기관현황,자치행정기관,제주특별자치도,제주특별자치도,,,,
213,부산광역시 기장군 보건소 설치 운영 현황,자치행정기관,부산광역시,부산광역시,기장군,,,보건소 설치 운영 현황
214,경상남도 인플루엔자 및 호흡기바이러스 감염증 병원체 감시사업 검사결과,자치행정기관,경상남도,경상남도,,,,및 호흡기바이러스 감염증 병원체 감시사업 검사결과
215,전라남도 보건환경연구원홈페이지 공지사항,자치행정기관,전라남도,전라남도,,,,
216,전라남도 보건환경연구원홈페이지 갤러리,자치행정기관,전라남도,전라남도,,,,
217,부산광역시 기장군 특수의료장비 설치현황,자치행정기관,부산광역시,부산광역시,기장군,,,
218,광주광역시 북부소방서 응급의료기관현황,자치행정기관,광주광역시,광주광역시,,,,
219,부산광역시 중구 의료기기 설치 정보,자치행정기관,부산광역시,부산광역시,중구,,,의료기기 설치 정보
220,전라남도 보건환경연구원홈페이지 정보공개,자치행정기관,전라남도,전라남도,,,,
221,세종특별자치시 소독의무시설,자치행정기관,세종특별자치시,세종특별자치시,,,,
222,보건복지부 시군구별 치매현황,국가행정기관,보건복지부,,,보건복지부,,
223,한국보건복지인력개발원 의료통역능력검정시스템 세부시험정보,공공기관,한국보건복지인력개발원,,,한국보건복지인력개발원,,
224,경기도 고양시 의약품도매업소 현황,자치행정기관,경기도,경기도,고양시,,,
225,경기도 고양시 산모신생아 건강관리 제공기관 현황,자치행정기관,경기도,경기도,고양시,,,산모신생아 건강관리 제공기관 현황
226,서울특별시  양천구 코로나19확진자 추정자가격리자및감염자수,자치행정기관,서울특별시,서울특별시,,,,양천구 코로나19확진자 추정자가격리자및감염자수
227,건강보험심사평가원 의료영상(뇌동맥류) 판독지원 인공지능 알고리즘 소스 v2,공공기관,건강보험심사평가원,,,건강보험심사평가원,,판독지원 인공지능 알고리즘 소스 v2
228,건강보험심사평가원 의료영상(뇌동맥류) 판독지원 인공지능 알고리즘 소스 v1,공공기관,건강보험심사평가원,,,건강보험심사평가원,,판독지원 인공지능 알고리즘 소스 v1
229,광주광역시 인큐베이팅기업 생산품 및 서비스용역,자치행정기관,광주광역시,광주광역시,,,,생산품 및 서비스용역
230,전라북도 전주시 급식소 현황,자치행정기관,전라북도,전라북도,전주시,,,
231,광주광역시 정신의료기관,자치행정기관,광주광역시,광주광역시,,,,
232,강원도 원주시 병원 정보,자치행정기관,강원도,강원도,원주시,,,
233,전라북도 수의사 현황,자치행정기관,전라북도,전라북도,,,,
234,강원도 원주시 동물병원 정보,자치행정기관,강원도,강원도,원주시,,,
235,인천광역시 미추홀구 의료급여 수급권자 종별 현황,자치행정기관,인천광역시,인천광역시,미추홀구,,,의료급여 수급권자 종별 현황
236,인천광역시 미추홀구 금연교육 현황,자치행정기관,인천광역시,인천광역시,미추홀구,,,
237,인천광역시 미추홀구 안전상비의약품 판매업소 현황,자치행정기관,인천광역시,인천광역시,미추홀구,,,안전상비의약품 판매업소 현황
238,전라남도 소독의무 대상시설 개수,자치행정기관,전라남도,전라남도,,,,
239,전라남도 소독업체 현황,자치행정기관,전라남도,전라남도,,,,
240,전라북도 희귀난치질환자 현황,자치행정기관,전라북도,전라북도,,,,
241,세종특별자치시 약국 현황,자치행정기관,세종특별자치시,세종특별자치시,,,,
242,전주시 의료기기업소현황,자치행정기관,전주시,전주시,,,,
243,전주시 안경원 현황,자치행정기관,전주시,전주시,,,,
244,전라북도 전주시 소독업소 현황,자치행정기관,전라북도,전라북도,전주시,,,
245,충청북도 음성군 진단방사선발생장치 및 특수장비현황,자치행정기관,충청북도,충청북도,음성군,,,진단방사선발생장치 및 특수장비현황
246,전라북도 보건환경연구원 미생물 검사 수수료 정보,자치행정기관,전라북도,전라북도,,,,미생물 검사 수수료 정보
247,충청남도 보령시 장기요양기관,자치행정기관,충청남도,충청남도,보령시,,,
248,대전광역시 서구 산후조리원현황,자치행정기관,대전광역시,대전광역시,서구,,,
249,경상북도 병원개폐업현황,자치행정기관,경상북도,경상북도,,,,
250,광주광역시 정신재활시설 현황(2020년),자치행정기관,광주광역시,광주광역시,,,,
251,서울특별시 성동구 약국현황,자치행정기관,서울특별시,서울특별시,성동구,,,
252,대전광역시 장사시설(장례식장)현황,자치행정기관,대전광역시,대전광역시,,,,
253,제주특별자치도 의료기관현황,자치행정기관,제주특별자치도,제주특별자치도,,,,
254,전라북도 소독차량 현황,자치행정기관,전라북도,전라북도,,,,
255,광주광역시 동부소방서 관내 119응급의료지정병원 현황,자치행정기관,광주광역시,광주광역시,,,,관내 119응급의료지정병원 현황
256,국민건강보험공단 직장 부과자료관리,공공기관,국민건강보험공단,,,국민건강보험공단,,
257,국민건강보험공단 현급급여비(광역시별) 지급현황,공공기관,국민건강보험공단,,,국민건강보험공단,,
258,"보건복지부 국립춘천병원 2020년 3분기 외래, 입원 수입금 현황",국가행정기관,보건복지부,,,보건복지부,국립춘천병원,"2020년 3분기 외래, 입원 수입금 현황"
259,부산광역시 해운대구 소독의무시설현황,자치행정기관,부산광역시,부산광역시,해운대구,,,
260,전라북도 여성폭력상담,자치행정기관,전라북도,전라북도,,,,
261,서울특별시 성동구 병원의원현황,자치행정기관,서울특별시,서울특별시,성동구,,,
262,서울특별시 성동구 숙박업현황,자치행정기관,서울특별시,서울특별시,성동구,,,
263,서울특별시 성동구 치과기공소현황,자치행정기관,서울특별시,서울특별시,성동구,,,
264,서울특별시 성동구 안경업소현황,자치행정기관,서울특별시,서울특별시,성동구,,,
265,서울특별시 성동구 건물위생관리업현황,자치행정기관,서울특별시,서울특별시,성동구,,,
266,전라북도 고혈압 당뇨병 등록관리사업 추진현황,자치행정기관,전라북도,전라북도,,,,당뇨병 등록관리사업 추진현황
267,서울특별시 성동구 세탁업현황,자치행정기관,서울특별시,서울특별시,성동구,,,
268,서울특별시 성동구 미용업현황,자치행정기관,서울특별시,서울특별시,성동구,,,
269,전라북도 의료급여 유형별 수급권자 현황,자치행정기관,전라북도,전라북도,,,,유형별 수급권자 현황
270,전라북도 고혈압.당뇨환자 현황,자치행정기관,전라북도,전라북도,,,,
271,전라북도 보건환경연구원 대기환경연구 수수료정보,자치행정기관,전라북도,전라북도,,,,
272,대전광역시 사회복지시설 방역물품지급 예산현황,자치행정기관,대전광역시,대전광역시,,,,
273,전라북도 보건소 현황,자치행정기관,전라북도,전라북도,,,,
274,전라북도 방역차량,자치행정기관,전라북도,전라북도,,,,
275,전라남도 영광군 의료기관현황,자치행정기관,전라남도,전라남도,영광군,,,
276,경상북도 식품위생업체 현황,자치행정기관,경상북도,경상북도,,,,
